番号,判定,総プレイ時間(時間),レビュー本文
68,おすすめ,0,"1000時間遊んだDivisionのダークゾーンからきた、アラフィフのおじさんです。

まず最初に、このゲームはクソゲー＆クソゲーです。
顔面紫セ○サターンです。湯○専務もビックリです。
クソゲー友の会・会長の私が言うのだから間違いありません。
本気と書いてマジと読む。マジで腹立つことばっかりです。

U○Iがどれだけダークゾーン（特に1）に力を入れていたのか分かりました。

それくらいこのゲームはとにかく落ちるし固まる。（最近少し安定してきました）

12世代i7　RAM32G　RTX3060Tiでも余裕で落ちます。
一緒に遊んでいる12世代i7　RTX3070Tiのおじさんもよく落ちるので、おそらくPCの問題ではないですね。

現状は某国のチーターの狩り場です。狙われるとほぼ逃げれません。

強盗○人が多発しており、派閥任務がなかなか進まず、かなりのストレスになります。
本編でも使えるM13B（MCX)は早めにとって開放したほうがいいでしょう。

「善良なエージェントが、ローグエージェントから守ってくれるという、ヒロイック要素がゼロになったダークゾーンがDMZです」

NPCアーマー兵は恐ろしく固く、超火力です。迷彩服兵もとにかく痛い。
私服チンピラ兵（ハゲ）でも近距離でダブルバレルショットガンで撃ってきて痛いっ☆アーッ！
アーマー2以下は溶けます。
しかもちゃんとカバーに入るし、いっちょまえにフラグやフラッシュバン投げてきてムカつくｗ特に火炎瓶がキツい。プロの軍人かよ。

回収のヘリの着陸地点は、血で血を洗う地獄絵図になっています。もう少しどうにかならなかったんでしょうか。

回収ヘリの中はセーフティーゾーンではなく、乗り込んできて撃たれます。中からも攻撃できます。
これを改善するだけでも、大分良くなるのに…

ダークゾーンと同じで、こちらがどこに隠れていても、探し出して絶対○すマンがたくさんいます。
おそらくウォールハックでしょう。障害物越しにエイム合わせてきます。

保証武器スロットが1つ（最高3つ）あるのですが、ロストするとCTが120分ととにかく長い。
本編のインベージョンやDMZをやっていれば、時間は短縮されますが…
もし毎回1つ任意の武器を持てたとして、入場時からアーマー2でも余裕でNPCやプレイヤーに狩られます。

これはクソゲーの殿堂入りですね。みなさん顔真っ赤で遊びましょう。私はキーボード1枚叩き壊しました。"
69,おすすめしない,0,"DMZはDivisionのダークゾーンのようなゲームスタイル。
タスクの鬼畜度も悪くはない。ソロでは厳しいかも知れない。しかしそれはこういった系のゲーム全般に言えること。
一番問題なのはクラッシュばかり起きること。
PCスペック的に問題がなくともEthernet的に問題なくてもクラッシュする。クラッシュによる装備ロストは整合性確保のため取り会はできるものの、頻度があまりに高く、クラッシュするのが自分だけではなく、フレンドもクラッシュしているため、PC依存とはあまり考えられない。改善されないと快適には遊ぶのが難しい。"
70,おすすめしない,0,"ざっくり評価するとたまに遊ぶと面白い（長時間遊ぶとクラッシュが増えるため）と思います。

・クラッシュが多すぎ、整合性チェックしても17個のファイルが毎回行方不明（もれなく装備ロストの特典付き！）
・保証武器をカスタムしてからほかの武器に変更するとカスタムがリセットされる地味な嫌がらせ
・鍵を拾ってもどこで使用するのかわからないものが多い、ロストしない鍵専用スロットが欲しいです（懇願）
・鍵持ち込んで開けに行ってもまずかったりする（エアプ）
・ソロはできなくもないがキルストかRPG持ってたらワンチャンぐらい（タルコフに寄せすぎ？）

重大な問題はクラッシュやソロがむずいこれ以外は今すぐ直さなくてもそんなに問題なさそう。ここまで問題点だけ挙げてきたが無料ゲームでベータの段階にしては面白いと思うただそれだけにクラッシュという致命的なバグは非常にもったいなく感じる。
クラッシュの具体的解決方法あったら教えてもらえると助かります"
71,おすすめしない,0,"グラフィックの設定下げたらクラッシュは無くなりました。
GeForce Experienceのカスタム設定で言うと、推奨から３コマくらい下に。

まだbetaなんで荒削りですが、M13Bのために仕方なく１０時間くらい費やした。"
72,おすすめしない,0,"アップデートで要素増やす前にバグを治せ👎👎👎
クソActivisionがよお
ゴミゲー作ってんじゃねえぞ
バンドルとかで集金する前にバグを取れ
すぐに直せないクソ無能運営
更にDMZでは中国人がチーミング横行しててもう終わってる
ゲームが終わってる
Fu-ck’in Activisioon"
73,おすすめしない,0,DMZでタスクこなしてもらった判定なのにスキンもらえないしバトルパスのスキンもなぜか反映されないし説明が足りないのかバグなのかわからんBF2042のがマシ
74,おすすめしない,0,"クラッシュが多く、そのたびに武器をロストします。
まともにプレイできません。"
75,おすすめ,0,"PCがバグでKIAになっちゃいました。
面白いとは思います。（まともに遊べてないけど）"
76,おすすめ,0,Game is buggy and not fully optimized. Sometimes searching for BR game takes longer than it should. But it's too early to judge. DMZ seems fun with friends and I'm looking forward what Activision will do with DMZ.
77,おすすめしない,0,"dmzを主にプレイした感想
bot多すぎ
バグ多すぎ
クラッシュしすぎ
ソロ厳しすぎてストレス！"
78,おすすめ,0,"PCのスペックをかなり要求するゲームです。
そこそこのスペックでプレイ出来ればカクツキもクラッシュ等もありません"
79,おすすめしない,0,"このアプリをDLしてからPCフリーズが増えました
ゲームもプレイ中にフリーズばかりでゲームしてなくてもフリーズが増え
自動修復とか言い出したので怖くて削除しました"
80,おすすめ,0,"たのしいです
ロード画面が二回出てくるのを何とかしてくれれば・・
あとロビーで他のパーティーとかの声が入ってくるのでそこを何とかしてほしいです"
81,おすすめ,0,"フレンドとやりたいのにできません
どなたか方法ご存じですか？"
