番号,判定,総プレイ時間(時間),レビュー本文
67,おすすめしない,13,キーコンフィグが変更できないバグが未だに直っていない
68,おすすめ,125,非常に中毒性の高い良いゲーム
69,おすすめ,66,神
70,おすすめ,32,やりこみ要素が多すぎる！
71,おすすめ,69,アイテムがとても多くて、飽きが来ません。
72,おすすめ,2396,神ゲーです。無限に時間が溶けます。探索、建築、戦闘、全て楽しいです。
73,おすすめ,286,"クリアするために一本道で強化と改善を行っていくので迷わない。ただ、建築とかで寄り道もできる。
ボスや敵も理不尽感はないけど、舐めてかかるとクリアできない難易度で程よくできてる。
総じて神ゲーなので何度でもやり直してしまう。"
74,おすすめしない,974,"tModLoaderというModを導入できる付属ソフトが本体です。1200円以上の価値は間違いなくあります。

ただ、もうリリースから10年以上たっているのに、いまだに「キーコンフィグが変更できないバグ」を放置しているのは本当に勘弁してほしい。

再現性の低いバグとかおま環ではなく、間違いなく「プレイヤー全員が遭遇しているバグ」なので、これから始める人も、私は例外、とか、私には起こらない、とは思わないでください。
であるのにもかかわらず、ずっと直りません。

そもそもキーコンフィグの変更があまり必要ないゲーム（マウス操作がほとんど）であるから、多くのプレイヤーにとって見過ごされているだけで、それは開発の怠慢じゃないですかね。"
75,おすすめしない,0,"キーコンフィグを弄ろうとすると操作不能になります。
このバグが残ってる限りカスのようなキー設定でプレイするハメになります。
私は絶対に嫌なので返品リクエストしました。"
76,おすすめしない,72,"スペック足りてるPCで動かしても2時間経つと固まって最悪クラッシュする
他にもマルチやってる時にクラッシュして再起動したら持ち物全部消えた。バグやろこれ
リリースされて約13年たってるんだからバグだったり諸々直せよカス
そんなこともできないでゴミゲー放置してるぐらいなら死んどけ"
